科目代碼,會計科目,日期,傳票號碼,種類,摘要,本幣借方金額,本幣貸方金額,借貸,餘額,幣別,匯率,原幣借方金額,原幣貸方金額
2120,應付票據 ,2024/12/23,11212230001,3,2/28FA6572931(立春) ,0.0,"1,747,200",貸,10636632.0,CNY,4.495,0.0,388698.55
5595,製-消耗品費 ,2024/11/20,11211200008,3,混凝土等 ,7024500.0,0,借,998873.0,USD,32.545,388698.55,0.0
8010,利息支出 ,2024/12/23,11212230002,3,信保借款利息 ,5735600.0,0,借,3687047.0,CNY,4.495,1275995.55,0.0
8010,利息支出 ,2024/12/23,11212230003,3,信保借款利息 ,1911900.0,0,借,3706166.0,JPY,0.2106,9078347.58,0.0
1290,進項稅額 ,2024/12/25,11212250001,3,,2367900.0,0,借,516382.0,CNY,4.499,526316.96,0.0
1290,進項稅額 ,2024/12/25,11212250002,3,,150000.0,0,借,517882.0,JPY,0.2098,714966.63,0.0
2120,應付票據 ,2024/12/25,11212250001,3,1/31FA6572925 ,0.0,"49,725,200",貸,11133884.0,CNY,4.499,0.0,11052500.56
2120,應付票據 ,2024/12/25,11212250002,3,2/28FA6572927(觀世音起重 ) ,0.0,"3,150,000",貸,11165384.0,JPY,0.2098,0.0,15014299.33
5595,製-消耗品費 ,2024/11/27,11211270001,3,五金用品等 ,7161800.0,0,借,1070491.0,JPY,0.2163,9327917.31,0.0
5595,製-消耗品費 ,2024/12/05,11212050003,3,螺絲 ,5510600.0,0,借,1125597.0,JPY,0.2186,14299332.7,0.0
5595,製-消耗品費 ,2024/12/05,11212050010,3,高壓軟管等 ,2346600.0,0,借,1149063.0,CNY,4.484,1198266.28,0.0
1290,進項稅額 ,2024/12/27,11212270001,3,,272000.0,0,借,520602.0,CNY,4.503,60404.17,0.0
1290,進項稅額 ,2024/12/27,11212270002,3,,9246400.0,0,借,613066.0,JPY,0.2094,44156638.01,0.0
1470,未完工程及待驗設備 ,2024/12/27,11212270002,3,製程空污設備等20%請款 ,169212200.0,0,借,184286456.0,JPY,0.2094,808081184.34,0.0
1470,未完工程及待驗設備 ,2024/12/27,11212270002,3,加熱爐新增工程安裝 ,15714300.0,0,借,184443599.0,JPY,0.2094,75044412.61,0.0
2120,應付票據 ,2024/12/27,11212270001,3,1/31FA6572926(晉楊) ,0.0,"5,712,300",貸,11222507.0,CNY,4.503,0.0,1268554.3
2120,應付票據 ,2024/12/27,11212270002,3,3/31FA6572939(友誼) ,0.0,"194,172,900",貸,13164236.0,JPY,0.2094,0.0,927282234.96
5595,製-消耗品費 ,2024/12/16,11212150002,3,實驗室用氣體 ,4761900.0,0,借,1196682.0,JPY,0.2136,1208150.12,0.0
1110,銀行存款 ,2024/12/30,11212300002,3,合庫-雙和 ,0.0,"1,539,100",借,17307677.0,JPY,0.2093,0.0,7353559.48
1110,銀行存款 ,2024/12/30,11212300003,3,合庫-雙和 ,0.0,"5,268,400",借,17254993.0,JPY,0.2093,0.0,25171524.13
1110,銀行存款 ,2024/12/30,11212300004,3,合庫-台銀 ,0.0,"507,509,100",借,12179902.0,USD,32.775,0.0,15484640.73
1110,銀行存款 ,2024/12/30,11212300005,3,合庫-雙和 ,0.0,"7,621,000",借,12103692.0,JPY,0.2093,0.0,36411849.02
1110,銀行存款 ,2024/12/30,11212300006,3,合庫-雙和 ,0.0,"7,711,700",借,12026575.0,USD,32.775,0.0,235292.14
